Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-11-08 00:00:00-05:00,1284.1,1289.4,1273.2,1273.4,50,0.0,0.0
2016-11-09 00:00:00-05:00,1272.2,1318.6,1270.0,1272.6,108,0.0,0.0
2016-11-10 00:00:00-05:00,1274.4,1287.5,1253.3,1265.5,63,0.0,0.0
2016-11-14 00:00:00-05:00,1227.8,1229.5,1210.4,1221.2,216,0.0,0.0
2016-11-15 00:00:00-05:00,1224.3,1226.0,1222.5,1224.0,20,0.0,0.0
2016-11-16 00:00:00-05:00,1229.3,1229.3,1223.0,1223.4,66,0.0,0.0
2016-11-17 00:00:00-05:00,1224.6,1225.0,1211.0,1216.5,1139,0.0,0.0
2016-11-18 00:00:00-05:00,1211.9,1211.9,1207.2,1208.5,607,0.0,0.0
2016-11-21 00:00:00-05:00,1209.6,1209.6,1209.6,1209.6,19,0.0,0.0
2016-11-22 00:00:00-05:00,1210.4,1211.1,1207.6,1211.0,19,0.0,0.0
2016-11-23 00:00:00-05:00,1212.8,1213.8,1186.8,1189.1,309,0.0,0.0
2016-11-25 00:00:00-05:00,1177.0,1189.3,1177.0,1178.2,14,0.0,0.0
2016-11-28 00:00:00-05:00,1188.0,1190.6,1188.0,1190.6,189914,0.0,0.0
2016-11-29 00:00:00-05:00,1193.2,1194.8,1179.4,1187.9,42124,0.0,0.0
2016-11-30 00:00:00-05:00,1187.1,1193.3,1167.9,1170.8,7158,0.0,0.0
2016-12-01 00:00:00-05:00,1172.7,1174.6,1160.0,1166.9,1588,0.0,0.0
2016-12-02 00:00:00-05:00,1172.3,1177.3,1166.4,1175.1,1521,0.0,0.0
2016-12-05 00:00:00-05:00,1181.8,1186.7,1157.0,1174.0,358,0.0,0.0
2016-12-06 00:00:00-05:00,1170.9,1174.5,1167.1,1167.6,652,0.0,0.0
2016-12-07 00:00:00-05:00,1167.7,1178.5,1166.4,1175.0,182,0.0,0.0
2016-12-08 00:00:00-05:00,1173.8,1177.8,1169.1,1169.8,322,0.0,0.0
2016-12-09 00:00:00-05:00,1166.6,1168.8,1156.0,1159.4,365,0.0,0.0
2016-12-12 00:00:00-05:00,1158.3,1163.9,1153.0,1163.5,331,0.0,0.0
2016-12-13 00:00:00-05:00,1163.5,1164.0,1155.4,1156.7,637,0.0,0.0
2016-12-14 00:00:00-05:00,1159.8,1164.0,1142.0,1161.3,487,0.0,0.0
2016-12-15 00:00:00-05:00,1139.8,1143.3,1123.9,1127.8,244,0.0,0.0
2016-12-16 00:00:00-05:00,1126.9,1140.9,1126.9,1135.3,146,0.0,0.0
2016-12-19 00:00:00-05:00,1139.4,1140.7,1137.9,1140.5,249,0.0,0.0
2016-12-20 00:00:00-05:00,1133.5,1133.5,1126.5,1131.5,46,0.0,0.0
2016-12-21 00:00:00-05:00,1136.1,1136.1,1130.0,1131.1,50,0.0,0.0
2016-12-22 00:00:00-05:00,1131.2,1132.8,1128.3,1128.8,104,0.0,0.0
2016-12-23 00:00:00-05:00,1130.9,1132.8,1130.3,1131.9,70,0.0,0.0
2016-12-27 00:00:00-05:00,1134.3,1142.2,1134.3,1137.3,84,0.0,0.0
2016-12-28 00:00:00-05:00,1141.2,1141.2,1138.0,1139.4,1570,0.0,0.0
2016-12-29 00:00:00-05:00,1143.8,1158.8,1143.6,1156.4,950,0.0,0.0
2016-12-30 00:00:00-05:00,1162.0,1162.0,1150.0,1150.0,16,0.0,0.0
2017-01-03 00:00:00-05:00,1155.2,1160.8,1146.5,1160.4,52,0.0,0.0
2017-01-04 00:00:00-05:00,1156.3,1165.0,1156.3,1163.8,36,0.0,0.0
2017-01-05 00:00:00-05:00,1172.0,1183.3,1171.5,1179.7,500,0.0,0.0
2017-01-06 00:00:00-05:00,1176.5,1176.5,1171.9,1171.9,16,0.0,0.0
2017-01-09 00:00:00-05:00,1173.9,1183.6,1173.0,1183.5,62,0.0,0.0
2017-01-10 00:00:00-05:00,1184.3,1188.9,1182.3,1184.2,8,0.0,0.0
2017-01-11 00:00:00-05:00,1187.5,1197.0,1176.5,1195.6,20,0.0,0.0
2017-01-12 00:00:00-05:00,1192.7,1204.3,1192.3,1198.9,110,0.0,0.0
2017-01-13 00:00:00-05:00,1195.7,1196.0,1187.7,1195.3,65,0.0,0.0
2017-01-17 00:00:00-05:00,1205.5,1214.6,1200.8,1212.0,79,0.0,0.0
2017-01-18 00:00:00-05:00,1213.6,1214.7,1203.1,1211.3,114,0.0,0.0
2017-01-19 00:00:00-05:00,1200.5,1204.0,1195.8,1200.9,26,0.0,0.0
2017-01-20 00:00:00-05:00,1202.8,1212.1,1202.8,1204.3,38,0.0,0.0
2017-01-23 00:00:00-05:00,1212.0,1215.0,1210.0,1215.0,16,0.0,0.0
2017-01-24 00:00:00-05:00,1219.0,1219.0,1207.7,1210.3,24,0.0,0.0
2017-01-25 00:00:00-05:00,1202.0,1202.8,1194.9,1197.3,403,0.0,0.0
2017-01-26 00:00:00-05:00,1199.7,1199.7,1185.6,1189.5,19,0.0,0.0
2017-01-27 00:00:00-05:00,1187.9,1188.3,1187.9,1188.1,234352,0.0,0.0
2017-01-30 00:00:00-05:00,1191.7,1198.5,1187.1,1193.2,50503,0.0,0.0
2017-01-31 00:00:00-05:00,1194.9,1214.7,1193.5,1208.6,3212,0.0,0.0
2017-02-01 00:00:00-05:00,1211.9,1211.9,1197.9,1205.6,1145,0.0,0.0
2017-02-02 00:00:00-05:00,1209.7,1224.2,1208.9,1216.7,1512,0.0,0.0
2017-02-03 00:00:00-05:00,1214.9,1220.6,1206.2,1218.5,865,0.0,0.0
2017-02-06 00:00:00-05:00,1221.9,1235.4,1218.5,1230.0,908,0.0,0.0
2017-02-07 00:00:00-05:00,1234.2,1236.2,1228.5,1234.2,1177,0.0,0.0
2017-02-08 00:00:00-05:00,1232.1,1243.9,1231.0,1237.6,288,0.0,0.0
2017-02-09 00:00:00-05:00,1239.4,1243.5,1226.9,1235.1,885,0.0,0.0
2017-02-10 00:00:00-05:00,1227.6,1234.4,1221.5,1234.4,391,0.0,0.0
2017-02-13 00:00:00-05:00,1230.5,1231.1,1219.0,1224.4,398,0.0,0.0
2017-02-14 00:00:00-05:00,1225.9,1233.5,1222.1,1223.9,159,0.0,0.0
2017-02-15 00:00:00-05:00,1225.5,1231.7,1217.3,1231.7,175,0.0,0.0
2017-02-16 00:00:00-05:00,1234.5,1240.7,1233.2,1240.0,87,0.0,0.0
2017-02-17 00:00:00-05:00,1240.7,1241.2,1234.8,1237.6,301,0.0,0.0
2017-02-21 00:00:00-05:00,1237.3,1237.5,1228.1,1237.5,119,0.0,0.0
2017-02-22 00:00:00-05:00,1236.1,1238.6,1231.8,1232.0,36,0.0,0.0
2017-02-23 00:00:00-05:00,1236.1,1250.3,1236.1,1250.2,112,0.0,0.0
2017-02-24 00:00:00-05:00,1250.0,1258.8,1250.0,1256.9,1264,0.0,0.0
2017-02-27 00:00:00-05:00,1254.7,1263.1,1250.4,1257.4,544,0.0,0.0
2017-02-28 00:00:00-05:00,1253.6,1257.3,1247.2,1252.6,721,0.0,0.0
2017-03-01 00:00:00-05:00,1247.8,1248.9,1236.9,1248.9,138,0.0,0.0
2017-03-02 00:00:00-05:00,1247.2,1247.6,1230.7,1231.9,79,0.0,0.0
2017-03-03 00:00:00-05:00,1231.7,1235.2,1222.9,1225.5,121,0.0,0.0
2017-03-06 00:00:00-05:00,1235.2,1235.2,1224.5,1224.5,29,0.0,0.0
2017-03-07 00:00:00-05:00,1224.3,1225.4,1213.7,1215.1,53,0.0,0.0
2017-03-08 00:00:00-05:00,1212.2,1212.2,1206.7,1208.5,24,0.0,0.0
2017-03-09 00:00:00-05:00,1204.5,1205.6,1202.3,1202.4,37,0.0,0.0
2017-03-10 00:00:00-05:00,1196.2,1203.3,1196.2,1200.7,3,0.0,0.0
2017-03-13 00:00:00-04:00,1206.2,1210.0,1202.3,1202.4,35,0.0,0.0
2017-03-14 00:00:00-04:00,1203.1,1205.9,1196.8,1201.9,22,0.0,0.0
2017-03-15 00:00:00-04:00,1198.2,1221.2,1197.7,1200.1,36,0.0,0.0
2017-03-16 00:00:00-04:00,1222.2,1231.4,1222.2,1226.5,47,0.0,0.0
2017-03-17 00:00:00-04:00,1227.1,1230.9,1227.1,1229.8,26,0.0,0.0
2017-03-20 00:00:00-04:00,1229.3,1234.4,1229.3,1233.6,23,0.0,0.0
2017-03-21 00:00:00-04:00,1226.4,1246.1,1226.4,1246.1,11,0.0,0.0
2017-03-22 00:00:00-04:00,1247.9,1249.5,1247.7,1249.3,3,0.0,0.0
2017-03-23 00:00:00-04:00,1246.4,1247.5,1244.8,1246.9,16,0.0,0.0
2017-03-24 00:00:00-04:00,1248.0,1248.3,1247.6,1248.2,3,0.0,0.0
2017-03-27 00:00:00-04:00,1255.8,1257.7,1253.8,1255.4,72,0.0,0.0
2017-03-28 00:00:00-04:00,1255.9,1255.9,1255.3,1255.3,19,0.0,0.0
2017-03-29 00:00:00-04:00,1252.2,1253.4,1252.1,1253.4,190678,0.0,0.0
2017-03-30 00:00:00-04:00,1253.1,1253.6,1241.1,1245.0,51328,0.0,0.0
2017-03-31 00:00:00-04:00,1242.1,1248.8,1238.7,1247.3,8223,0.0,0.0
